date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:23	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-b357254c064ff316;gz%22	https://labdhi.aikyam.agency/robots.txt		(from )
12:39:24	26521/26521	---M-Z	200	added ('OK')	text/html	etag:%226799-685ca54d-e8702aac40b12a70;gz%22	https://labdhi.aikyam.agency/	/Users/admin/websites/labdhi/labdhi.aikyam.agency/index.html	(from )
12:39:25	5283/5283	---M--	200	added ('OK')	image/png	etag:%2214a3-685ca426-594e85c52e16a2d5;;;%22	https://labdhi.aikyam.agency/assets/images/favicon/favicon.png	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/images/favicon/favicon.png	(from https://labdhi.aikyam.agency/)
12:39:27	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	/Users/admin/websites/labdhi/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://labdhi.aikyam.agency/)
12:39:27	29086/29086	---M-Z	200	added ('OK')	text/css	etag:%22719e-685ca426-9620fc9ce74dd990;gz%22	https://labdhi.aikyam.agency/assets/css/font-awesome.min.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/font-awesome.min.css	(from https://labdhi.aikyam.agency/)
12:39:28	1461/1461	---M-Z	200	added ('OK')	text/css	etag:%225b5-685ca426-ec08e6deeb33f7d8;gz%22	https://labdhi.aikyam.agency/assets/css/flaticon.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/flaticon.css	(from https://labdhi.aikyam.agency/)
12:39:30	121204/121204	---M-Z	200	added ('OK')	text/css	etag:%221d974-685ca426-c3c89258ed30e89f;gz%22	https://labdhi.aikyam.agency/assets/css/bootstrap.min.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/bootstrap.min.css	(from https://labdhi.aikyam.agency/)
12:39:30	76783/76783	---M-Z	200	added ('OK')	text/css	etag:%2212bef-685ca426-7fdf3f5b120145e;gz%22	https://labdhi.aikyam.agency/assets/css/animate.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/animate.css	(from https://labdhi.aikyam.agency/)
12:39:31	4615/4615	---M-Z	200	added ('OK')	text/css	etag:%221207-685ca426-72ef08ee3286c0a4;gz%22	https://labdhi.aikyam.agency/assets/css/owl.carousel.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/owl.carousel.css	(from https://labdhi.aikyam.agency/)
12:39:32	1055/1055	---M-Z	200	added ('OK')	text/css	etag:%2241f-685ca426-4bd16edb70b6f178;gz%22	https://labdhi.aikyam.agency/assets/css/owl.theme.css	/Users/admin/websites/labdhi/labdhi.aikyam.agency/assets/css/owl.theme.css	(from https://labdhi.aikyam.agency/)
